"Start Time","End Time","Text","Video Track","Layer ID"
"00;03;39;11","00;03;40;08","*gasp*","8","1"
"00;03;40;08","00;03;40;26","me!","8","1"
"00;03;40;26","00;03;41;29","that’s-","8","1"
"00;03;43;06","00;03;44;09","that’s it","8","1"
"00;03;45;01","00;03;46;20","this is the tower!","8","1"
"00;03;47;29","00;03;48;28","hooray!","8","1"
"00;03;48;28","00;03;51;24","Building the Interior Shop","2","1"
"00;03;53;10","00;03;55;19","woah! there’s orange wool...","8","1"
"00;03;56;13","00;03;57;09","hm...","8","1"
"00;03;58;17","00;03;59;18","perfect!","8","1"
"00;03;59;26","00;04;01;23","a dead bush...","8","1"
"00;04;05;19","00;04;07;14","*gasp*","8","1"
"00;04;10;21","00;04;11;29","that’s so cool!","8","1"
"00;04;12;27","00;04;13;24","okay, yeah","7","1"
"00;04;13;24","00;04;17;02","yeah, i feel like that’s the best of both worlds","8","1"
"00;04;17;07","00;04;22;00","Building the Town Hall","2","1"
"00;04;18;26","00;04;22;00","yeah, i really don’t like that...","8","1"
"00;04;24;03","00;04;26;21","okay, yea, that’ll do it","8","1"
"00;04;26;21","00;04;27;25","finished!!","8","1"
"00;04;27;25","00;04;28;14","haha","8","1"
"00;04;28;14","00;04;28;21","no","8","1"
"00;04;29;01","00;04;30;07","i need the back...","8","1"
"00;04;32;15","00;04;34;18","yeah, i really do not like that...","8","1"
"00;04;34;18","00;04;37;21","the town hall doesn’t have an inside","8","1"
"00;04;38;01","00;04;41;11","...i guess the mii apartments","8","1"
"00;04;42;12","00;04;47;21","...do have an inside ...i don’t know how i’m gonna do that","8","1"
"00;04;47;21","00;04;51;21","maybe 2... or 3,, (variants of) the default interiors","8","1"
"00;04;47;21","00;04;51;21","","2","1"
"00;04;47;21","00;04;51;21","Building Mii Apartments","2","2"
"00;04;51;21","00;04;57;02","and then i’ll copy that so there’s (counting) 1,2,3,4,5,6,7,8.... ","8","1"
"00;04;57;02","00;05;01;03","okay... yea, that doesn’t look too bad","8","1"
"00;05;01;03","00;05;04;17","And so began the final steps:","8","1"
"00;05;04;17","00;05;06;10","building all the stores,","8","1"
"00;05;06;10","00;05;08;03","the mii apartments and homes,","8","1"
"00;05;08;03","00;05;10;18","all of the recreational areas,","8","1"
"00;05;10;18","00;05;12;11","the mii news tower,","8","1"
"00;05;12;11","00;05;14;04","the amusement park,","8","1"
"00;05;14;04","00;05;16;14"," the cafe, the photo area, and more,,","8","1"
"00;05;17;15","00;05;21;17"," at this point i realized that this was something much bigger than what i was expecting,,","8","1"
"00;05;22;11","00;05;24;25","and i decided to do some building on my own. ","8","1"
"00;05;24;25","00;05;28;25","","2","1"
"00;05;24;25","00;05;28;25","Building the Concert Hall","2","2"
"00;05;24;25","00;05;29;03","when i made my first stream i had the idea","8","1"
"00;05;29;12","00;05;32;07","to make this like a lobby, here","8","1"
"00;05;33;03","00;05;35;28","and then, you go down here...","8","1"
"00;05;37;12","00;05;40;09","you’ll be able to see that there’s this whole area","8","1"
"00;05;41;25","00;05;45;01","yeah! the first time i used the oak planks i was like","8","1"
"00;05;45;01","00;05;45;15","*gasp*","8","1"
"00;05;45;15","00;05;48;00","that kind of looks like Mr. Tomo...","8","1"
"00;05;48;00","00;05;49;14","♪ your best foot forward ♪","8","1"
"00;05;48;00","00;05;52;00","","2","1"
"00;05;48;00","00;05;52;00","here’s the muscial cover you’veall been waiting for","2","2"
"00;05;49;14","00;05;52;14","♪ on Jupiter or Mars ♪","8","1"
"00;05;52;14","00;05;55;04","♪ sha la la la space dreamin’ ♪","8","1"
"00;05;55;04","00;05;59;24","♪ this galaxy’s too small ♪","8","1"
"00;06;00;21","00;06;04;21","Building the Cafe","2","1"
"00;06;05;24","00;06;07;24","yeah! i like the","8","1"
"00;06;08;11","00;06;09;28","how they’re always talking","8","1"
"00;06;09;28","00;06;12;17","although they do repeat themselves","8","1"
"00;06;12;23","00;06;14;17","and they even acknowledge it","8","1"
"00;06;14;17","00;06;18;05","well to be fair Tomodachi Life really likes meta jokes","8","1"
"00;06;18;18","00;06;19;19","where they’re like","8","1"
"00;06;19;19","00;06;25;03","☝","8","1"
"00;06;25;23","00;06;26;04","oh!","8","1"
"00;06;26;15","00;06;26;27","wow!","8","1"
"00;06;27;25","00;06;28;21","*achoo*","8","1"
"00;06;28;21","00;06;29;13","sorry","8","1"
"00;06;29;13","00;06;33;07","let’s move on to the next... thing","8","1"
"00;06;33;07","00;06;35;13","aaa that looks cool,,, i like that!","8","1"
"00;06;35;13","00;06;37;21","yeah! i’m doing the pawn shop!","8","1"
"00;06;35;15","00;06;39;15","Building the Pawn Shop","2","1"
"00;06;37;21","00;06;41;12","we’re just making the pawn shop, the hat shop,and the food mart","8","1"
"00;06;41;12","00;06;44;11","we’re almost done! we’re in the homestretch","8","1"
"00;06;44;11","00;06;48;12","so much of my personality and everything about me","8","1"
"00;06;48;12","00;06;50;19","relies so much in sleepiness...","8","1"
"00;06;50;19","00;06;55;06","you know how youtubers sometimes name their audience?","8","1"
"00;06;55;06","00;06;59;01","what if i named you guys, my viewers...","8","1"
"00;06;59;01","00;07;00;06","sleepyheads","8","1"
"00;07;00;06","00;07;02;20","whenever i start a video i go like","8","1"
"00;07;02;20","00;07;05;04","“ good morning sleepyheads!”","8","1"
"00;07;05;04","00;07;05;29","what?","8","1"
"00;07;07;08","00;07;07;23","whoops","8","1"
"00;07;07;23","00;07;11;27","yeah, i think that’ll just about do it for the pawn shop...","8","1"
"00;07;13;12","00;07;15;05","i don’t think i can do much more","8","1"
"00;07;15;05","00;07;19;00","i’’ always find a way to sneek in a trans flag!","8","1"
"00;07;19;00","00;07;21;00","yeah i really like that!","8","1"
"00;07;19;00","00;07;23;00","Building the Food Mart","2","1"
"00;07;21;00","00;07;22;18","i’m proud of myself! ^^","8","1"
"00;07;23;13","00;07;25;01","so close! so close!","8","1"
"00;07;28;25","00;07;29;29","i love that!!","8","1"
"00;07;29;29","00;07;30;26","i love that!","8","1"
"00;07;30;26","00;07;31;23","so much,,","8","1"
"00;07;31;27","00;07;32;16","i’m cooking","8","1"
"00;07;32;16","00;07;33;06","i’m cooking","8","1"
"00;07;34;22","00;07;35;12","cooking!","8","1"
"00;07;36;26","00;07;37;26","there we go!","8","1"
"00;07;37;26","00;07;39;29","that’s so cool,, i love that,,","8","1"
"00;07;39;29","00;07;44;06","i think this is the first time i’ve been so excited fora minecraft build","8","1"
"00;07;45;19","00;07;47;11","we have Mr. Tomo!","8","1"
"00;07;47;11","00;07;49;20","it even kind of looks like a face...","8","1"
"00;07;51;14","00;07;53;00","that’s Mr. Tomo!","8","1"
"00;07;53;00","00;07;54;14","hi Mr. Tomo!","8","1"
"00;07;55;12","00;07;57;13","i think we’re fine... i think-","8","1"
"00;07;58;20","00;07;59;21","i think-","8","1"
"00;08;01;03","00;08;02;10","we’re done","8","1"
"00;08;02;16","00;08;03;23","and with that","8","1"
"00;08;03;23","00;08;08;14","my life-long dream of building Tomodachi Life in Minecraft was complete!","8","1"
"00;08;08;22","00;08;14;08","I’ll have a schematic and a world-download in the description so you can explore it or build it yourself!","8","1"
"00;08;14;11","00;08;15;06","hope you enjoyed!","8","1"
"00;08;15;06","00;08;17;06","i know that my channel is mainly centered","8","1"
"00;08;17;06","00;08;18;28","around my animations","8","1"
"00;08;18;28","00;08;21;09","but i thought i could try something different","8","1"
"00;08;21;18","00;08;23;27","If you’re interested in more of my minecraft stuff,","8","1"
"00;08;23;27","00;08;27;08","please subscribe to my second channel “Pau archives”!","8","1"
"00;08;27;08","00;08;29;24","and also please subscribe to this channel as well,","8","1"
"00;08;29;24","00;08;31;07","it would help a lot","8","1"
"00;08;31;26","00;08;32;14","oki!","8","1"
"00;08;32;14","00;08;33;16","thanks for watching!","8","1"
"00;08;33;16","00;08;34;17","good nightey!","8","1"
